X,Y,OBJECTID,Stop,Place,Loca_latitude,Loca_longitude,Description,Street_dir_,Shelt_,Shelter_resp_,Bench,Trash_can,Route_Number,Route_Name
-83.1880251800016,42.4163988890029,3062,6867,,42.4163988885318,-83.1880251803011,McNichols & Strathmoor,EB,0,,0,0,32,McNichols
-83.1863329460016,42.4166140440028,3063,6868,,42.4166140440025,-83.1863329455344,McNichols & Freeland,WB,0,,0,0,32,McNichols
-83.1848211530016,42.4164339400028,3064,6869,,42.4164339404156,-83.1848211529387,McNichols & Ardmore,EB,0,,0,0,32,McNichols
-83.1837490320016,42.4166428820029,3065,6870,,42.4166428820923,-83.1837490316907,McNichols & Stansbury,WB,0,,0,0,32,McNichols
-83.1825761810016,42.4166751240029,3066,6871,,42.416675123941,-83.1825761812812,McNichols & Lesure,WB,0,,0,0,32,McNichols
-83.1817099530016,42.4164759080028,3067,6872,,42.4164759077838,-83.1817099529109,McNichols & Lesure,EB,0,,0,0,32,McNichols
-83.1777200290016,42.4167221110029,3068,6877,,42.4167221106496,-83.1777200285716,McNichols & Snowden,WB,0,,0,0,32,McNichols
-83.1761550010016,42.4164990710028,3069,6878,,42.4164990709992,-83.1761550006685,McNichols & Littlefield,EB,0,,0,0,32,McNichols
-83.1739479330016,42.4165379460029,3070,6879,,42.4165379463377,-83.1739479327073,McNichols & Ward,EB,0,,0,0,32,McNichols
-83.1751739100016,42.4167300180029,3071,6880,,42.4167300176058,-83.1751739103796,McNichols & Ward,WB,0,,0,0,32,McNichols
-83.2418960170017,42.4148669360028,3072,7228,,42.4148669358043,-83.2418960169564,McNichols & Stout,EB,0,,0,0,32,McNichols
-83.2403171790017,42.4152149210028,3073,7229,,42.4152149210428,-83.2403171792259,McNichols & Heyden,WB,0,,0,0,32,McNichols
-83.2395869640016,42.4149200720028,3074,7230,McnEvr,42.4149200716435,-83.2395869642896,McNichols & Evergreen,EB,0,,0,1,32,McNichols
-83.2385329300016,42.4152468910029,3075,7232,McnEvr,42.4152468913398,-83.2385329299298,McNichols & Evergreen,WB,0,,0,0,32,McNichols
-83.2352290630016,42.4151569550028,3076,7234,,42.4151569554615,-83.2352290628709,McNichols & Westmoreland,EB,0,,1,1,32,McNichols
-83.2364319600016,42.4153228860029,3077,7235,,42.4153228862428,-83.2364319600409,McNichols & Westmoreland,WB,0,,0,0,32,McNichols
-83.2334751150016,42.4153760390029,3078,7236,,42.4153760385583,-83.2334751153306,McNichols & Edinborough,WB,0,,0,0,32,McNichols
-83.2311030490016,42.4152269380029,3079,7237,,42.4152269381298,-83.231103049162,McNichols & W Outer Dr,EB,0,,0,0,32,McNichols
-83.2306938220016,42.4154289480028,3080,7278,,42.4154289482847,-83.2306938218022,McNichols & Shaftsbury,WB,0,,0,0,32,McNichols
-83.0826001470016,42.4184939000029,3081,7347,,42.4184939003847,-83.0826001474128,McNichols & Dequindre,WB,0,,0,0,32,McNichols
-83.0817951590016,42.4183920380028,3082,7348,,42.4183920384832,-83.0817951592714,McNichols & Dequindre,EB,0,,0,0,32,McNichols
-83.0862769500016,42.4180831130029,3083,7420,,42.4180831132812,-83.0862769499792,McNichols & I-75 Service Dr,EB,0,,0,0,32,McNichols
